signal_date,effective_date,ticker,vcrf_state,floor_price,recognition_price,total_score,tradable_flag,signal_version,underwrite_score,realization_score,position_state,primary_type,sector_route,announcement_date,reject_reason
2024-07-31,2024-08-01,600568,REJECT,1.1,1.61,55.98,0,public_source_watchlist_v1,65.99,40.96,reject,special_situation,financial_asset,2024-07-31,
2024-07-31,2024-08-01,600348,HARVEST,7.28,2.89,54.67,1,public_source_watchlist_v1,60.81,45.45,harvest,cyclical,core_resource,2024-07-31,
2024-07-31,2024-08-01,002121,REJECT,0.53,0.78,37.97,1,public_source_watchlist_v1,29.55,50.59,reject,compounder,financial_asset,2024-07-31,debt wall coverage fails survival tripwire
2024-07-31,2024-08-01,600221,REJECT,0.05,0.16,32.59,1,public_source_watchlist_v1,26.4,41.88,reject,compounder,unknown,2024-07-31,debt wall coverage fails survival tripwire
2024-08-30,2024-09-02,600568,REJECT,1.05,1.53,53.58,0,public_source_watchlist_v1,61.99,40.96,reject,special_situation,financial_asset,2024-08-30,
2024-08-30,2024-09-02,600348,REJECT,7.04,4.32,51.72,1,public_source_watchlist_v1,57.06,43.7,reject,cyclical,core_resource,2024-08-30,
2024-08-30,2024-09-02,002121,REJECT,0.5,0.74,38.04,1,public_source_watchlist_v1,29.11,51.43,reject,compounder,financial_asset,2024-08-30,debt wall coverage fails survival tripwire
2024-08-30,2024-09-02,600221,REJECT,0.05,0.04,33.24,1,public_source_watchlist_v1,26.4,43.5,reject,compounder,unknown,2024-08-30,debt wall coverage fails survival tripwire
2024-09-30,2024-10-08,600568,REJECT,1.05,1.53,53.9,0,public_source_watchlist_v1,61.99,41.76,reject,special_situation,financial_asset,2024-09-30,
2024-09-30,2024-10-08,600348,REJECT,7.04,4.32,48.11,1,public_source_watchlist_v1,52.06,42.19,reject,cyclical,core_resource,2024-09-30,
2024-09-30,2024-10-08,002121,REJECT,0.5,0.74,39.17,1,public_source_watchlist_v1,29.11,54.27,reject,compounder,financial_asset,2024-09-30,debt wall coverage fails survival tripwire
2024-09-30,2024-10-08,600221,REJECT,0.02,0.04,32.99,1,public_source_watchlist_v1,26.4,42.88,reject,compounder,unknown,2024-09-30,debt wall coverage fails survival tripwire
2024-10-31,2024-11-01,600568,REJECT,1.03,1.51,60.47,0,public_source_watchlist_v1,66.39,51.59,reject,special_situation,financial_asset,2024-10-31,
2024-10-31,2024-11-01,600348,REJECT,7.19,6.05,52.1,1,public_source_watchlist_v1,56.31,45.79,reject,cyclical,core_resource,2024-10-31,
2024-10-31,2024-11-01,600221,REJECT,0.08,0.27,40.13,1,public_source_watchlist_v1,38.94,41.91,reject,compounder,unknown,2024-10-31,
2024-10-31,2024-11-01,002121,REJECT,0.44,0.65,39.44,1,public_source_watchlist_v1,29.11,54.93,reject,compounder,financial_asset,2024-10-31,debt wall coverage fails survival tripwire
2024-11-29,2024-12-02,600568,REJECT,1.03,1.51,56.12,0,public_source_watchlist_v1,59.14,51.59,reject,special_situation,financial_asset,2024-11-29,
2024-11-29,2024-12-02,600348,REJECT,7.19,6.05,51.51,1,public_source_watchlist_v1,56.31,44.31,reject,cyclical,core_resource,2024-11-29,
2024-11-29,2024-12-02,600221,REJECT,0.08,0.27,41.62,1,public_source_watchlist_v1,38.94,45.65,reject,compounder,unknown,2024-11-29,
2024-11-29,2024-12-02,002121,REJECT,0.44,0.65,38.54,1,public_source_watchlist_v1,29.11,52.69,reject,compounder,financial_asset,2024-11-29,debt wall coverage fails survival tripwire
2024-12-31,2025-01-02,600568,REJECT,1.03,1.51,60.07,0,public_source_watchlist_v1,66.39,50.59,reject,special_situation,financial_asset,2024-12-31,
2024-12-31,2025-01-02,600348,HARVEST,7.19,6.05,54.39,1,public_source_watchlist_v1,61.31,44.0,harvest,cyclical,core_resource,2024-12-31,
2024-12-31,2025-01-02,600221,REJECT,0.08,0.27,41.38,1,public_source_watchlist_v1,38.94,45.05,reject,compounder,unknown,2024-12-31,
2024-12-31,2025-01-02,002121,REJECT,0.44,0.65,39.17,1,public_source_watchlist_v1,29.11,54.27,reject,compounder,financial_asset,2024-12-31,debt wall coverage fails survival tripwire
2025-01-27,2025-02-05,600568,REJECT,1.03,1.51,57.15,0,public_source_watchlist_v1,66.39,43.28,reject,special_situation,financial_asset,2025-01-27,
2025-01-27,2025-02-05,600348,HARVEST,7.19,6.05,54.7,1,public_source_watchlist_v1,61.31,44.78,harvest,cyclical,core_resource,2025-01-27,
2025-01-27,2025-02-05,600221,REJECT,0.08,0.27,40.75,1,public_source_watchlist_v1,38.94,43.46,reject,compounder,unknown,2025-01-27,
2025-01-27,2025-02-05,002121,REJECT,0.44,0.65,37.76,1,public_source_watchlist_v1,29.11,50.73,reject,compounder,financial_asset,2025-01-27,debt wall coverage fails survival tripwire
2025-02-28,2025-03-03,600568,REJECT,1.03,1.51,60.27,0,public_source_watchlist_v1,66.39,51.1,reject,special_situation,financial_asset,2025-02-28,
2025-02-28,2025-03-03,600348,HARVEST,7.19,6.05,55.04,1,public_source_watchlist_v1,61.31,45.64,harvest,cyclical,core_resource,2025-02-28,
2025-02-28,2025-03-03,600221,REJECT,0.08,0.27,40.75,1,public_source_watchlist_v1,38.94,43.46,reject,compounder,unknown,2025-02-28,
2025-02-28,2025-03-03,002121,REJECT,0.44,0.65,37.29,1,public_source_watchlist_v1,29.11,49.56,reject,compounder,financial_asset,2025-02-28,debt wall coverage fails survival tripwire
2025-03-31,2025-04-01,600568,REJECT,1.03,1.51,60.07,0,public_source_watchlist_v1,66.39,50.59,reject,special_situation,financial_asset,2025-03-31,
2025-03-31,2025-04-01,600348,HARVEST,7.19,6.05,55.83,1,public_source_watchlist_v1,61.31,47.6,harvest,cyclical,core_resource,2025-03-31,
2025-03-31,2025-04-01,600221,REJECT,0.08,0.27,40.75,1,public_source_watchlist_v1,38.94,43.46,reject,compounder,unknown,2025-03-31,
2025-03-31,2025-04-01,002121,REJECT,0.44,0.65,37.76,1,public_source_watchlist_v1,29.55,50.08,reject,compounder,financial_asset,2025-03-31,debt wall coverage fails survival tripwire
