signal_date,effective_date,ticker,vcrf_state,floor_price,recognition_price,total_score,tradable_flag,signal_version,underwrite_score,realization_score,position_state,primary_type,sector_route,announcement_date,reject_reason
2024-07-31,2024-08-01,603227,REJECT,3.67,1.4,45.36,1,public_source_watchlist_v1,43.39,48.32,reject,compounder,core_resource,2024-07-31,
2024-07-31,2024-08-01,002226,REJECT,2.85,0.65,43.26,1,public_source_watchlist_v1,41.84,45.4,reject,compounder,core_resource,2024-07-31,
2024-07-31,2024-08-01,002096,REJECT,4.31,1.09,42.77,1,public_source_watchlist_v1,39.65,47.45,reject,compounder,unknown,2024-07-31,
2024-07-31,2024-08-01,603977,REJECT,3.83,0.76,41.24,1,public_source_watchlist_v1,35.66,49.61,reject,compounder,unknown,2024-07-31,
2024-07-31,2024-08-01,000425,REJECT,3.92,1.76,39.51,1,public_source_watchlist_v1,37.35,42.75,reject,compounder,rigid_shovel,2024-07-31,
2024-07-31,2024-08-01,600221,REJECT,0.05,0.16,32.59,1,public_source_watchlist_v1,26.4,41.88,reject,compounder,unknown,2024-07-31,debt wall coverage fails survival tripwire
2024-08-30,2024-09-02,600568,REJECT,1.05,1.53,53.58,0,public_source_watchlist_v1,61.99,40.96,reject,special_situation,financial_asset,2024-08-30,
2024-08-30,2024-09-02,600019,HARVEST,7.69,2.47,53.17,1,public_source_watchlist_v1,60.25,42.55,harvest,compounder,core_resource,2024-08-30,
2024-08-30,2024-09-02,600758,REJECT,3.46,0.1,51.63,1,public_source_watchlist_v1,49.55,54.75,reject,cyclical,core_resource,2024-08-30,debt wall coverage fails survival tripwire
2024-08-30,2024-09-02,601065,REJECT,5.52,5.05,48.51,1,public_source_watchlist_v1,44.54,54.47,reject,cyclical,core_resource,2024-08-30,
2024-08-30,2024-09-02,002226,REJECT,2.89,1.89,45.87,1,public_source_watchlist_v1,45.8,45.97,reject,compounder,core_resource,2024-08-30,
2024-08-30,2024-09-02,603227,REJECT,3.67,4.39,45.23,1,public_source_watchlist_v1,45.15,45.35,reject,compounder,core_resource,2024-08-30,
2024-08-30,2024-09-02,002096,REJECT,4.28,2.39,42.84,1,public_source_watchlist_v1,39.65,47.63,reject,compounder,unknown,2024-08-30,
