signal_date,effective_date,ticker,vcrf_state,floor_price,recognition_price,total_score,tradable_flag,signal_version,underwrite_score,realization_score,position_state,primary_type,sector_route,announcement_date,reject_reason
2025-01-27,2025-02-05,600348,HARVEST,7.19,6.05,56.59,1,public_source_watchlist_v1,61.31,49.52,harvest,cyclical,core_resource,2025-01-27,
2025-01-27,2025-02-05,600221,REJECT,0.08,0.27,40.75,1,public_source_watchlist_v1,38.94,43.46,reject,compounder,unknown,2025-01-27,
2025-01-27,2025-02-05,002121,REJECT,0.44,0.65,38.91,1,public_source_watchlist_v1,29.11,53.62,reject,compounder,financial_asset,2025-01-27,debt wall coverage fails survival tripwire
2025-02-28,2025-03-03,600568,REJECT,1.03,1.51,60.27,0,public_source_watchlist_v1,66.39,51.1,reject,special_situation,financial_asset,2025-02-28,
2025-02-28,2025-03-03,600348,HARVEST,7.19,6.05,56.94,1,public_source_watchlist_v1,61.31,50.38,harvest,cyclical,core_resource,2025-02-28,
2025-02-28,2025-03-03,600221,REJECT,0.08,0.27,40.75,1,public_source_watchlist_v1,38.94,43.46,reject,compounder,unknown,2025-02-28,
2025-02-28,2025-03-03,002121,REJECT,0.44,0.65,39.21,1,public_source_watchlist_v1,29.11,54.36,reject,compounder,financial_asset,2025-02-28,debt wall coverage fails survival tripwire
2025-03-31,2025-04-01,600568,REJECT,1.03,1.51,60.59,0,public_source_watchlist_v1,66.39,51.9,reject,special_situation,financial_asset,2025-03-31,
2025-03-31,2025-04-01,600348,HARVEST,7.19,6.05,57.72,1,public_source_watchlist_v1,61.31,52.34,harvest,cyclical,core_resource,2025-03-31,
2025-03-31,2025-04-01,600221,REJECT,0.08,0.27,40.75,1,public_source_watchlist_v1,38.94,43.46,reject,compounder,unknown,2025-03-31,
2025-03-31,2025-04-01,002121,REJECT,0.44,0.65,38.92,1,public_source_watchlist_v1,29.55,52.97,reject,compounder,financial_asset,2025-03-31,debt wall coverage fails survival tripwire
2025-04-30,2025-05-06,600348,HARVEST,8.03,1.99,57.66,1,public_source_watchlist_v1,62.56,50.32,harvest,cyclical,core_resource,2025-04-30,
2025-04-30,2025-05-06,600568,REJECT,0.78,1.15,48.88,0,public_source_watchlist_v1,53.14,42.48,reject,special_situation,financial_asset,2025-04-30,
2025-04-30,2025-05-06,002121,REJECT,0.31,0.45,38.87,1,public_source_watchlist_v1,29.55,52.85,reject,compounder,financial_asset,2025-04-30,debt wall coverage fails survival tripwire
2025-04-30,2025-05-06,600221,REJECT,0.04,0.04,33.22,1,public_source_watchlist_v1,26.4,43.46,reject,compounder,unknown,2025-04-30,debt wall coverage fails survival tripwire
2025-05-30,2025-06-03,600348,HARVEST,8.03,1.99,57.12,1,public_source_watchlist_v1,62.56,48.95,harvest,cyclical,core_resource,2025-05-30,
2025-05-30,2025-06-03,600568,REJECT,0.78,1.15,48.64,0,public_source_watchlist_v1,47.34,50.59,reject,special_situation,financial_asset,2025-05-30,
2025-05-30,2025-06-03,002121,REJECT,0.31,0.45,39.79,1,public_source_watchlist_v1,29.55,55.15,reject,compounder,financial_asset,2025-05-30,debt wall coverage fails survival tripwire
2025-05-30,2025-06-03,600221,REJECT,0.04,0.04,33.22,1,public_source_watchlist_v1,26.4,43.46,reject,compounder,unknown,2025-05-30,debt wall coverage fails survival tripwire
2025-06-30,2025-07-01,600348,HARVEST,8.03,1.99,57.56,1,public_source_watchlist_v1,62.56,50.05,harvest,cyclical,core_resource,2025-06-30,
2025-06-30,2025-07-01,600568,REJECT,0.78,1.15,48.88,0,public_source_watchlist_v1,47.34,51.19,reject,special_situation,financial_asset,2025-06-30,
2025-06-30,2025-07-01,002121,REJECT,0.31,0.45,39.19,1,public_source_watchlist_v1,29.55,53.66,reject,compounder,financial_asset,2025-06-30,debt wall coverage fails survival tripwire
2025-06-30,2025-07-01,600221,REJECT,0.04,0.04,33.13,1,public_source_watchlist_v1,26.4,43.23,reject,compounder,unknown,2025-06-30,debt wall coverage fails survival tripwire
