signal_date,effective_date,ticker,vcrf_state,floor_price,recognition_price,total_score,tradable_flag,signal_version,underwrite_score,realization_score,position_state,primary_type,sector_route,announcement_date,reject_reason
2024-09-30,2024-10-08,600221,REJECT,0.02,0.04,33.76,1,public_source_watchlist_v1,26.4,44.8,reject,compounder,unknown,2024-09-30,debt wall coverage fails survival tripwire
2024-09-30,2024-10-08,000425,REJECT,4.04,4.11,33.54,1,public_source_watchlist_v1,28.47,41.15,reject,compounder,rigid_shovel,2024-09-30,debt wall coverage fails survival tripwire
2024-10-31,2024-11-01,600568,REJECT,1.03,1.51,61.07,0,public_source_watchlist_v1,66.39,53.1,reject,special_situation,financial_asset,2024-10-31,
2024-10-31,2024-11-01,600348,REJECT,7.19,6.05,55.7,1,public_source_watchlist_v1,56.31,54.79,reject,cyclical,core_resource,2024-10-31,
2024-10-31,2024-11-01,600019,HARVEST,7.7,3.21,54.48,1,public_source_watchlist_v1,60.76,45.05,harvest,compounder,core_resource,2024-10-31,
2024-10-31,2024-11-01,601065,REJECT,5.63,6.66,50.47,1,public_source_watchlist_v1,44.54,59.36,reject,cyclical,core_resource,2024-10-31,
2024-10-31,2024-11-01,600758,REJECT,3.49,0.54,48.02,1,public_source_watchlist_v1,40.8,58.85,reject,cyclical,core_resource,2024-10-31,debt wall coverage fails survival tripwire
2024-10-31,2024-11-01,603227,REJECT,3.84,6.74,46.05,1,public_source_watchlist_v1,43.39,50.04,reject,compounder,core_resource,2024-10-31,
2024-10-31,2024-11-01,002226,REJECT,2.99,3.4,44.26,1,public_source_watchlist_v1,41.2,48.84,reject,compounder,core_resource,2024-10-31,
2024-10-31,2024-11-01,600221,REJECT,0.08,0.27,42.09,1,public_source_watchlist_v1,38.94,46.82,reject,compounder,unknown,2024-10-31,
2024-10-31,2024-11-01,002121,REJECT,0.44,0.65,40.43,1,public_source_watchlist_v1,29.11,57.42,reject,compounder,financial_asset,2024-10-31,debt wall coverage fails survival tripwire
2024-10-31,2024-11-01,603977,REJECT,3.93,3.31,38.11,1,public_source_watchlist_v1,31.7,47.73,reject,compounder,unknown,2024-10-31,
2024-10-31,2024-11-01,000425,REJECT,3.98,5.89,34.14,1,public_source_watchlist_v1,28.47,42.65,reject,compounder,rigid_shovel,2024-10-31,debt wall coverage fails survival tripwire
2024-11-29,2024-12-02,600568,REJECT,1.03,1.51,56.72,0,public_source_watchlist_v1,59.14,53.1,reject,special_situation,financial_asset,2024-11-29,
2024-11-29,2024-12-02,600348,REJECT,7.19,6.05,53.77,1,public_source_watchlist_v1,56.31,49.96,reject,cyclical,core_resource,2024-11-29,
2024-11-29,2024-12-02,600019,HARVEST,7.7,3.21,53.48,1,public_source_watchlist_v1,60.76,42.55,harvest,compounder,core_resource,2024-11-29,
2024-11-29,2024-12-02,601065,REJECT,5.63,6.66,50.56,1,public_source_watchlist_v1,44.54,59.58,reject,cyclical,core_resource,2024-11-29,
2024-11-29,2024-12-02,600758,REJECT,3.49,0.54,48.02,1,public_source_watchlist_v1,40.8,58.85,reject,cyclical,core_resource,2024-11-29,debt wall coverage fails survival tripwire
2024-11-29,2024-12-02,603227,REJECT,3.84,6.74,46.02,1,public_source_watchlist_v1,43.39,49.97,reject,compounder,core_resource,2024-11-29,
2024-11-29,2024-12-02,002226,REJECT,2.99,3.4,43.05,1,public_source_watchlist_v1,41.2,45.83,reject,compounder,core_resource,2024-11-29,
2024-11-29,2024-12-02,600221,REJECT,0.08,0.27,41.62,1,public_source_watchlist_v1,38.94,45.65,reject,compounder,unknown,2024-11-29,
2024-11-29,2024-12-02,002121,REJECT,0.44,0.65,41.54,1,public_source_watchlist_v1,29.11,60.18,reject,compounder,financial_asset,2024-11-29,debt wall coverage fails survival tripwire
2024-11-29,2024-12-02,603977,REJECT,3.93,3.31,37.65,1,public_source_watchlist_v1,31.7,46.57,reject,compounder,unknown,2024-11-29,
2024-11-29,2024-12-02,000425,REJECT,3.98,5.89,33.54,1,public_source_watchlist_v1,28.47,41.15,reject,compounder,rigid_shovel,2024-11-29,debt wall coverage fails survival tripwire
2024-12-31,2025-01-02,600568,REJECT,1.03,1.51,60.59,0,public_source_watchlist_v1,66.39,51.9,reject,special_situation,financial_asset,2024-12-31,
2024-12-31,2025-01-02,600348,HARVEST,7.19,6.05,56.28,1,public_source_watchlist_v1,61.31,48.74,harvest,cyclical,core_resource,2024-12-31,
2024-12-31,2025-01-02,600019,HARVEST,7.7,3.21,52.36,1,public_source_watchlist_v1,60.76,39.75,harvest,compounder,core_resource,2024-12-31,
2024-12-31,2025-01-02,600758,REJECT,3.49,0.54,50.54,1,public_source_watchlist_v1,45.8,57.65,reject,cyclical,core_resource,2024-12-31,debt wall coverage fails survival tripwire
2024-12-31,2025-01-02,601065,REJECT,5.63,6.66,49.61,1,public_source_watchlist_v1,44.54,57.22,reject,cyclical,core_resource,2024-12-31,
2024-12-31,2025-01-02,603227,REJECT,3.84,6.74,45.66,1,public_source_watchlist_v1,43.39,49.07,reject,compounder,core_resource,2024-12-31,
2024-12-31,2025-01-02,002226,REJECT,2.99,3.4,43.81,1,public_source_watchlist_v1,41.2,47.72,reject,compounder,core_resource,2024-12-31,
2024-12-31,2025-01-02,002121,REJECT,0.44,0.65,41.57,1,public_source_watchlist_v1,29.11,60.26,reject,compounder,financial_asset,2024-12-31,debt wall coverage fails survival tripwire
2024-12-31,2025-01-02,600221,REJECT,0.08,0.27,41.38,1,public_source_watchlist_v1,38.94,45.05,reject,compounder,unknown,2024-12-31,
2024-12-31,2025-01-02,603977,REJECT,3.93,3.31,38.22,1,public_source_watchlist_v1,31.7,48.0,reject,compounder,unknown,2024-12-31,
2024-12-31,2025-01-02,000425,REJECT,3.98,5.89,33.54,1,public_source_watchlist_v1,28.47,41.15,reject,compounder,rigid_shovel,2024-12-31,debt wall coverage fails survival tripwire
2025-01-27,2025-02-05,600568,REJECT,1.03,1.51,57.15,0,public_source_watchlist_v1,66.39,43.28,reject,special_situation,financial_asset,2025-01-27,
2025-01-27,2025-02-05,600348,HARVEST,7.19,6.05,56.59,1,public_source_watchlist_v1,61.31,49.52,harvest,cyclical,core_resource,2025-01-27,
2025-01-27,2025-02-05,600019,HARVEST,7.7,3.21,52.36,1,public_source_watchlist_v1,60.76,39.75,harvest,compounder,core_resource,2025-01-27,
2025-01-27,2025-02-05,601065,REJECT,5.63,6.66,48.47,1,public_source_watchlist_v1,44.54,54.36,reject,cyclical,core_resource,2025-01-27,
2025-01-27,2025-02-05,600758,REJECT,3.49,0.54,47.15,1,public_source_watchlist_v1,46.9,47.53,reject,compounder,core_resource,2025-01-27,debt wall coverage fails survival tripwire
2025-01-27,2025-02-05,603227,REJECT,3.84,6.74,44.57,1,public_source_watchlist_v1,43.39,46.33,reject,compounder,core_resource,2025-01-27,
2025-01-27,2025-02-05,002226,REJECT,2.99,3.4,41.51,1,public_source_watchlist_v1,41.2,41.97,reject,compounder,core_resource,2025-01-27,
2025-01-27,2025-02-05,600221,REJECT,0.08,0.27,40.75,1,public_source_watchlist_v1,38.94,43.46,reject,compounder,unknown,2025-01-27,
2025-01-27,2025-02-05,603977,REJECT,3.93,3.31,39.24,1,public_source_watchlist_v1,31.7,50.55,reject,compounder,unknown,2025-01-27,
2025-01-27,2025-02-05,002121,REJECT,0.44,0.65,38.91,1,public_source_watchlist_v1,29.11,53.62,reject,compounder,financial_asset,2025-01-27,debt wall coverage fails survival tripwire
2025-01-27,2025-02-05,000425,REJECT,3.98,5.89,33.06,1,public_source_watchlist_v1,28.47,39.95,reject,compounder,rigid_shovel,2025-01-27,debt wall coverage fails survival tripwire
2025-02-28,2025-03-03,600568,REJECT,1.03,1.51,60.27,0,public_source_watchlist_v1,66.39,51.1,reject,special_situation,financial_asset,2025-02-28,
2025-02-28,2025-03-03,600348,HARVEST,7.19,6.05,56.94,1,public_source_watchlist_v1,61.31,50.38,harvest,cyclical,core_resource,2025-02-28,
2025-02-28,2025-03-03,600019,HARVEST,7.7,3.21,52.36,1,public_source_watchlist_v1,60.76,39.75,harvest,compounder,core_resource,2025-02-28,
2025-02-28,2025-03-03,601065,REJECT,5.63,6.66,50.38,1,public_source_watchlist_v1,44.54,59.14,reject,cyclical,core_resource,2025-02-28,
2025-02-28,2025-03-03,600758,REJECT,3.49,0.54,47.75,1,public_source_watchlist_v1,46.9,49.03,reject,compounder,core_resource,2025-02-28,debt wall coverage fails survival tripwire
2025-02-28,2025-03-03,603227,REJECT,3.84,6.74,44.66,1,public_source_watchlist_v1,43.39,46.56,reject,compounder,core_resource,2025-02-28,
2025-02-28,2025-03-03,002226,REJECT,2.99,3.4,41.6,1,public_source_watchlist_v1,41.2,42.19,reject,compounder,core_resource,2025-02-28,
2025-02-28,2025-03-03,600221,REJECT,0.08,0.27,40.75,1,public_source_watchlist_v1,38.94,43.46,reject,compounder,unknown,2025-02-28,
2025-02-28,2025-03-03,002121,REJECT,0.44,0.65,39.21,1,public_source_watchlist_v1,29.11,54.36,reject,compounder,financial_asset,2025-02-28,debt wall coverage fails survival tripwire
2025-02-28,2025-03-03,603977,REJECT,3.93,3.31,38.91,1,public_source_watchlist_v1,31.7,49.73,reject,compounder,unknown,2025-02-28,
2025-02-28,2025-03-03,000425,REJECT,3.98,5.89,33.54,1,public_source_watchlist_v1,28.47,41.15,reject,compounder,rigid_shovel,2025-02-28,debt wall coverage fails survival tripwire
2025-03-31,2025-04-01,600568,REJECT,1.03,1.51,60.59,0,public_source_watchlist_v1,66.39,51.9,reject,special_situation,financial_asset,2025-03-31,
2025-03-31,2025-04-01,600348,HARVEST,7.19,6.05,57.72,1,public_source_watchlist_v1,61.31,52.34,harvest,cyclical,core_resource,2025-03-31,
2025-03-31,2025-04-01,600019,HARVEST,7.7,3.21,51.88,1,public_source_watchlist_v1,60.76,38.55,harvest,compounder,core_resource,2025-03-31,
2025-03-31,2025-04-01,600758,REJECT,3.49,0.54,48.99,1,public_source_watchlist_v1,46.9,52.13,reject,compounder,core_resource,2025-03-31,debt wall coverage fails survival tripwire
2025-03-31,2025-04-01,601065,REJECT,5.63,6.66,48.95,1,public_source_watchlist_v1,44.54,55.56,reject,cyclical,core_resource,2025-03-31,
2025-03-31,2025-04-01,603227,REJECT,3.84,6.74,45.03,1,public_source_watchlist_v1,43.39,47.49,reject,compounder,core_resource,2025-03-31,
2025-03-31,2025-04-01,002226,REJECT,2.99,3.4,42.03,1,public_source_watchlist_v1,41.2,43.28,reject,compounder,core_resource,2025-03-31,
2025-03-31,2025-04-01,600221,REJECT,0.08,0.27,40.75,1,public_source_watchlist_v1,38.94,43.46,reject,compounder,unknown,2025-03-31,
2025-03-31,2025-04-01,002121,REJECT,0.44,0.65,38.92,1,public_source_watchlist_v1,29.55,52.97,reject,compounder,financial_asset,2025-03-31,debt wall coverage fails survival tripwire
2025-03-31,2025-04-01,603977,REJECT,3.93,3.31,38.83,1,public_source_watchlist_v1,31.7,49.53,reject,compounder,unknown,2025-03-31,
2025-03-31,2025-04-01,000425,REJECT,3.98,5.89,33.54,1,public_source_watchlist_v1,28.47,41.15,reject,compounder,rigid_shovel,2025-03-31,debt wall coverage fails survival tripwire
2025-04-30,2025-05-06,600348,HARVEST,8.03,1.99,57.66,1,public_source_watchlist_v1,62.56,50.32,harvest,cyclical,core_resource,2025-04-30,
2025-04-30,2025-05-06,600758,REJECT,3.65,0.86,53.7,1,public_source_watchlist_v1,51.8,56.55,reject,cyclical,core_resource,2025-04-30,
